learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
21000.0,13.1875,1.2788080978983395E-5,21000.0,86.9,86.9,-403.8461538461534,86.9,21000.0,3420408.0,30.0,184.0,22526.666666666668,16055.815994971035,97539.19999999998,70253.74822956743,4.333333333333333,4.245349044041859,2.6666666666666665,2.1226745220209295,2.6666666666666665,2.1226745220209295,1.4333333333333331,1.524135330522564,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,13.53125,1.3064140964868585E-5,22000.0,93.4,93.4,-499.99999999999903,93.4,22000.0,3104296.0,30.0,190.0,22952.400000000005,18954.97722935897,87165.33333333334,73636.2075356267,3.7999999999999994,4.413146504362338,2.4,2.206573252181169,2.4,2.206573252181169,1.166666666666667,1.59920957487373,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,13.921875,1.3339307172120448E-5,23000.0,92.60000000000001,92.60000000000001,-362.4999999999993,92.60000000000001,23000.0,2722936.0,30.0,199.0,18652.666666666664,19731.391606084035,74595.2,77226.49455242141,3.1333333333333337,4.6068414891058636,2.0666666666666664,2.3034207445529318,2.0666666666666664,2.3034207445529318,0.8333333333333334,1.5992095748737303,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,14.28125,1.3581502943351453E-5,24000.0,84.6,84.6,-470.37037037037,84.6,24000.0,2605080.0,30.0,208.0,17532.03333333333,21559.980918492187,70550.4,77911.1516720743,3.033333333333333,4.730556089884172,1.9999999999999998,2.3780606413195406,1.9999999999999998,2.3780606413195406,0.7666666666666666,1.5905612397739564,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,14.6875,1.3811722908738175E-5,25000.0,88.8,88.8,-409.09090909090855,88.8,25000.0,2190544.0,30.0,221.0,15455.600000000002,15334.853701336027,56769.86666666667,51000.12619033295,2.1999999999999997,3.08947043782699,1.5999999999999999,1.5447352189134953,1.5999999999999999,1.5447352189134953,0.39999999999999997,0.9684683962230045,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,15.078125,1.405781115560482E-5,26000.0,85.9,85.9,-386.20689655172373,85.9,26000.0,2435192.0,30.0,225.0,19927.733333333337,16001.79380447453,64745.33333333334,72295.17563211366,2.7333333333333334,4.417311815817502,1.8666666666666665,2.208655907908751,1.8666666666666665,2.208655907908751,0.5333333333333334,1.3060425438846859,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,15.421875,1.4259413906580046E-5,27000.0,88.7,88.7,-303.57142857142816,88.7,27000.0,2267024.0,30.0,232.0,20778.766666666674,16506.8712749723,59317.600000000006,69231.14248092251,2.333333333333333,4.146733931523769,1.6666666666666663,2.0733669657618843,1.6666666666666663,2.0733669657618843,0.43333333333333335,1.330888563259934,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,15.796875,1.450266993035459E-5,28000.0,78.7,78.7,-363.0434782608691,78.7,28000.0,2507464.0,30.0,241.0,18859.033333333333,17129.87122862269,67567.46666666665,58673.48897176254,2.7999999999999994,3.575780599610626,1.8999999999999997,1.787890299805313,1.8999999999999997,1.787890299805313,0.7666666666666666,1.330888563259934,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,16.09375,1.4657158236433236E-5,29000.0,81.6,81.6,-441.17647058823496,81.6,29000.0,2011520.0,30.0,249.0,16248.800000000003,13113.60909947346,50924.266666666656,28701.71664568507,1.8,1.6273524086899447,1.4000000000000004,0.8136762043449723,1.4000000000000004,0.8136762043449723,0.4,0.8136762043449723,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,16.28125,1.4751472885513472E-5,30000.0,82.1,82.1,-477.41935483870935,82.1,30000.0,1944376.0,30.0,253.0,20288.899999999998,14053.818868291944,48637.33333333333,26601.707455353873,1.6666666666666665,1.5161960871578068,1.3333333333333337,0.7580980435789034,1.3333333333333337,0.7580980435789034,0.3333333333333333,0.7580980435789034,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,16.546875,1.4882313520906288E-5,31000.0,80.4,80.4,-378.0487804878043,80.4,31000.0,1904040.0,30.0,260.0,22920.866666666672,15361.040818124664,47450.399999999994,24535.1679608876,1.6,1.4044264997156128,1.3000000000000005,0.7022132498578064,1.3000000000000005,0.7022132498578064,0.29999999999999993,0.7022132498578064,0.0,0.0,0.0,0.0,1.0,0.0
