learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
65000.0,1.59375,2.188258157629105E-7,65000.0,87.5,87.5,-197.61904761904736,87.5,65000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
66000.0,1.609375,2.191286896251969E-7,66000.0,80.80000000000001,80.80000000000001,-405.2631578947363,80.80000000000001,66000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
67000.0,1.625,2.1943156348748332E-7,67000.0,83.7,83.7,-443.33333333333303,83.7,67000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
68000.0,1.625,2.1943156348748332E-7,68000.0,91.10000000000001,91.10000000000001,-242.3076923076919,91.10000000000001,68000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
69000.0,1.640625,2.1973443734976973E-7,69000.0,92.60000000000001,92.60000000000001,-208.33333333333286,92.60000000000001,69000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
70000.0,1.65625,2.2003731121205614E-7,70000.0,93.89999999999999,93.89999999999999,-281.25,93.89999999999999,70000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
71000.0,1.671875,2.2034018507434256E-7,71000.0,88.7,88.7,-370.83333333333286,88.7,71000.0,74928.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
72000.0,1.671875,2.2034018507434256E-7,72000.0,77.3,77.29836548231474,-567.6470588235287,77.09384460141273,72000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
73000.0,1.671875,2.2034018507434256E-7,73000.0,77.60000000000001,77.54167573187569,-522.2222222222216,76.34635691657867,73000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
74000.0,1.671875,2.2034018507434256E-7,74000.0,76.0,75.93801633006625,-499.9999999999995,74.84276729559748,74000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
75000.0,1.71875,2.2127500010861284E-7,75000.0,71.1,71.08771227771803,-702.7777777777771,70.35897435897436,75000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
76000.0,1.734375,2.2158660512003628E-7,76000.0,84.5,84.5,-297.4358974358971,84.32760364004044,76000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
77000.0,1.75,2.218982101314597E-7,77000.0,84.7,84.7,-218.74999999999977,84.7,77000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
78000.0,1.75,2.218982101314597E-7,78000.0,84.2,84.2,-444.82758620689617,84.2,78000.0,77088.0,42.0,3.0,-1.0,2.0,0.0,0.0,1.0,39.0
